#Software: Microsoft Internet Information Services 10.0
#Version: 1.0
#Date: 2022-08-03 01:39:32
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2022-08-03 01:39:32 192.168.0.23 GET /stalker_portal/server/tools/auth_simple.php - 80 - 180.149.125.167 Mozilla/5.0+(Windows+NT+5.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.90+Safari/537.36 - 404 0 2 922
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_no_favorite.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 33
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_select.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 33
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_insrow.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 89
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/js/dist/database/structure.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 158
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/js/dist/table/change.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 175
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_empty.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 175
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_drop.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 117
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/bd_browse.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 23
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/bd_select.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 18
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/bd_empty.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 18
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_print.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 17
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_tblanalyse.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 17
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_table_add.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 13
2022-08-03 01:40:04 127.0.0.1 POST /scm/phpMyadmin/index.php route=/navigation&ajax_request=1 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 496
2022-08-03 01:40:04 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_minus.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 0
2022-08-03 01:40:14 127.0.0.1 GET /scm/phpMyadmin/index.php route=/database/structure&db=scm&ajax_request=true&ajax_page_request=true&_nocache=1659490814439339253&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 473
2022-08-03 01:40:20 127.0.0.1 GET /scm/phpMyadmin/index.php route=/&ajax_request=true&ajax_page_request=true&_nocache=1659490819760792733&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 303
2022-08-03 01:40:20 127.0.0.1 POST /scm/phpMyadmin/index.php route=/version-check 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 209
2022-08-03 01:40:21 127.0.0.1 GET /scm/phpMyadmin/index.php route=/server/databases&ajax_request=true&ajax_page_request=true&_nocache=1659490820955244328&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 372
2022-08-03 01:40:21 127.0.0.1 GET /scm/phpMyadmin/js/dist/server/databases.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 18
2022-08-03 01:40:21 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/s_success.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 13
2022-08-03 01:40:21 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_deltbl.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 20
2022-08-03 01:40:34 127.0.0.1 GET /scm/phpMyadmin/index.php route=/database/structure&db=scm&ajax_request=true&ajax_page_request=true&_nocache=165949083447184118&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 385
2022-08-03 01:40:39 127.0.0.1 GET /scm/phpMyadmin/index.php route=/database/structure&db=scm&ajax_request=true&ajax_page_request=true&_nocache=1659490839127446915&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 558
2022-08-03 01:40:49 127.0.0.1 GET /scm/phpMyadmin/index.php route=/&ajax_request=true&ajax_page_request=true&_nocache=1659490849584855044&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 288
2022-08-03 01:40:49 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/s_unlink.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 1
2022-08-03 01:40:49 127.0.0.1 POST /scm/phpMyadmin/index.php route=/version-check 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 186
2022-08-03 01:53:49 127.0.0.1 GET /scm/phpMyadmin/index.php route=/server/collations&ajax_request=true&ajax_page_request=true&_nocache=1659491629315150190&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 483
2022-08-03 01:53:56 127.0.0.1 GET /scm/phpMyadmin/index.php route=/database/structure&db=scm&ajax_request=true&ajax_page_request=true&_nocache=1659491635482447177&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 526
2022-08-03 01:53:59 127.0.0.1 GET /scm/phpMyadmin/index.php route=/database/operations&db=scm&ajax_request=true&ajax_page_request=true&_nocache=165949163947387580&token=5166495532646635624b253047673c6c 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 421
2022-08-03 01:53:59 127.0.0.1 GET /scm/phpMyadmin/themes/pmahomme/img/b_edit.png - 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 http://localhost/scm/phpMyadmin/themes/pmahomme/css/theme.css?v=5.2.0 200 0 0 0
2022-08-03 01:53:59 127.0.0.1 GET /scm/phpMyadmin/js/dist/database/operations.js v=5.2.0 80 - 127.0.0.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+rv:103.0)+Gecko/20100101+Firefox/103.0 - 200 0 0 46
